"http://beta.congress.gov/bill/113th-congress/house-bill/1402","113-HR-1402: To amend title 38, United States Code, to extend certain expiring provisions of law, and for other purposes."
"http://beta.congress.gov/bill/113th-congress/house-bill/1412","113-HR-1412: A bill to amend title 38, United States Code, to extend certain expiring authorities affecting veterans and their families, and for other purposes."
"http://beta.congress.gov/bill/113th-congress/house-bill/1447","113-HR-1447: To encourage States to report to the Attorney General certain information regarding the deaths of individuals in the custody of law enforcement agencies, and for other purposes."
"http://beta.congress.gov/bill/113th-congress/house-bill/1451","113-HR-1451: To designate the facility of the United States Postal Service located at 14 Main Street in Brockport, New York, as the Staff Sergeant Nicholas J. Reid Post Office Building."
"http://beta.congress.gov/bill/113th-congress/house-bill/152","113-HR-152: Making supplemental appropriations for the fiscal year ending September 30, 2013, to improve and streamline disaster assistance for Hurricane Sandy, and for other purposes."
"http://beta.congress.gov/bill/113th-congress/house-bill/1528","113-HR-1528: To amend the Controlled Substances Act to allow a veterinarian to transport and dispense controlled substances in the usual course of veterinary practice outside of the registered location."
"http://beta.congress.gov/bill/113th-congress/house-bill/1671","113-HR-1671: To designate the facility of the United States Postal Service located at 6937 Village Parkway in Dublin, California, as the James Jim Kohnen Post Office."
"http://beta.congress.gov/bill/113th-congress/house-bill/1707","113-HR-1707: To designate the facility of the United States Postal Service located at 302 East Green Street in Champaign, Illinois, as the James R. Burgess Jr. Post Office Building."
"http://beta.congress.gov/bill/113th-congress/house-bill/1726","113-HR-1726: To award a Congressional Gold Medal to the 65th Infantry Regiment, known as the Borinqueneers."
"http://beta.congress.gov/bill/113th-congress/house-bill/1765","113-HR-1765: To provide the Secretary of Transportation with the flexibility to transfer certain funds to prevent reduced operations and staffing of the Federal Aviation Administration, and for other purposes."
"http://beta.congress.gov/bill/113th-congress/house-bill/1813","113-HR-1813: To redesignate the facility of the United States Postal Service located at 162 Northeast Avenue in Tallmadge, Ohio, as the Lance Corporal Daniel Nathan Deyarmin, Jr., Post Office Building."
"http://beta.congress.gov/bill/113th-congress/house-bill/1848","113-HR-1848: To ensure that the Federal Aviation Administration advances the safety of small airplanes, and the continued development of the general aviation industry, and for other purposes."
"http://beta.congress.gov/bill/113th-congress/house-bill/185","113-HR-185: To designate the United States courthouse located at 101 East Pecan Street in Sherman, Texas, as the Paul Brown United States Courthouse."
"http://beta.congress.gov/bill/113th-congress/house-bill/1911","113-HR-1911: To amend the Higher Education Act of 1965 to establish interest rates for new loans made on or after July 1, 2013, to direct the Secretary of Education to convene the Advisory Committee on Improving Postsecondary Education Data to conduct a study on improvements to postsecondary education transparency at the Federal level, and for other purposes."
"http://beta.congress.gov/bill/113th-congress/house-bill/2019","113-HR-2019: To eliminate taxpayer financing of political party conventions and reprogram savings to provide for a 10-year pediatric research initiative through the Common Fund administered by the National Institutes of Health, and for other purposes."
"http://beta.congress.gov/bill/113th-congress/house-bill/2094","113-HR-2094: To amend the Public Health Service Act to increase the preference given, in awarding certain asthma-related grants, to certain States (those allowing trained school personnel to administer epinephrine and meeting other related requirements)."
"http://beta.congress.gov/bill/113th-congress/house-bill/2112","113-HR-2112: To designate the facility of the United States Postal Service located at 787 State Route 17M in Monroe, New York, as the National Clandestine Service of the Central Intelligence Agency NCS Officer Gregg David Wenzel Memorial Post Office."
